ESCUELA,ALUMNO,SEXO,PROMOCION_INGRESO,MODALIDAD,COLEGIO_PROCEDENCIA
ADMINISTRACIÓN,b853b1c685f945873e33db8dcdde48a118ce2e9f41b54f88e16cd120db5fa48b,Femenino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,7d9fda1d69179ee18170e98b5f709b6a918a8fef2293d327b327095d48691694,Femenino,2023B,Centro Pre-Universitario,Colegio Particular
ADMINISTRACIÓN,34c59360fb4905d30e42fc0dc149aaae740594cba780264e08768b452f188c0d,Masculino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,82e184b206a8933d51a84e7274d711de7e5979a4fcba05afff0b99b2e5fce523,Femenino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,f4e52081c95ab6899a8aaf7ac6dff0ed4848ee19bae29bc5ac472eef93d21ebb,Femenino,2023B,Centro Pre-Universitario,Colegio Particular
ADMINISTRACIÓN,769999abfc8496dfa1e36f6f8da0870d82968bed8641a65c00722eade9eb021e,Masculino,2023B,Centro Pre-Universitario,Colegio Nacional
ADMINISTRACIÓN,81585df45a44b68d2c7d0184d0a3758e798492038e571bc5df0e55149e3cba2a,Femenino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,a585557cfc33392ece95ad9ed4034195571873cc72d29a9b7ae93829b439f549,Masculino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,2c5159adf7abf96d393fdf7ecd597ae4fae868c1d8e902ddcda9c3f2a8bd5198,Masculino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,4ccd85585737a606ef848bcba64da2a0637324585e188f29a563857dabc2f0e2,Femenino,2023B,Examen General de Admision,Colegio Parroquial
ADMINISTRACIÓN,aeafde409096ca6008b7232c62ee58782c63c9489d89e37a9293e591f3cd6945,Femenino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,3e0e7b83eedc3ee4f3d5ceee50064ee80d4052b30564ac852ef93da19b9c0607,Masculino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,ead11bceba259578da7387cb815edfc89dcd33225037723063a3d884ae0c97b6,Masculino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,ded58027e9f93b03392b8351a368158d8415fc86ce2206cbc7fd2a4b11b8bda8,Femenino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,5fbfed1c34d3d789bad63801770615fa6b55a1cc8067589c5a54d0ab13de9570,Masculino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,5c67e090e35580105becca10a4a7c574656fb7ea8e7decc7b6495a7e5e348439,Femenino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,80b9230278b3bdde98d851c135ec2c1d1463262d55a22f8bfbe7811a29de5e0e,Femenino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,109a3307cc1c78006cd35b0a244176302a1669c200c17ecf8c71a967c38432a9,Masculino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,30d3edbddc129a33179163c6bc0b3d04e393a2df4547897d847d007c9155e70a,Masculino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,0c4a9ae339fd9c8725c956e0ca935e07886eb94099acf96c5d1f901e0c01efad,Femenino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,e21fc2e5c7d3ca45d90e28728a48e28fa9c685d4d638f03305b7af47d2038076,Masculino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,6d8689652deaf50591cff18082566bda80f122e01c2bced85717262bd60ca84b,Femenino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,3ba6867dbb1fff43f647bff91e522f13a282e436c6dacf2e1bbbb9942314bea9,Masculino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,756ecdb92984f817987d5576fc1789870ec11cf5d94c83d2799bf90b1bb09bcc,Femenino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,424b3808c3672b0dd98ad7af8b25ee70e0ae8e4719076c24efde16c7b9569360,Masculino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,9623476f348ec6314f4a8b8e8324ae2c799445a3f1fb6b706003c5d3bbc5ec4e,Femenino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,d08f40153ec049e7d4252e165778264ebe13504d8647010fc0d3e97b2da4be40,Femenino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,659feaf0993819a02e28d0bf89755c276664859052f51e68873ea0da3de8c106,Femenino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,c866044dc3d05512468d9a2cd4be4a5bc813d0a9782b60de56168024a554f1e9,Femenino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,f6050623e83dd10ecd203c07c202ebc75af3534680c72f7642f8130cc0af02db,Masculino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,870af3af512f784f6c9d4229c2768675145ddc9653ba872c3bdedd3dd09bf180,Masculino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,90c790b8b286d65fbe2c0a5123668856f7d9e0224e124dce6f009027b36ace2e,Masculino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,a2fe72aa0103261941df34c48208c2cf8f16f60baa78294ce83506abb23e3f85,Masculino,2023B,Examen General de Admision,Colegio Parroquial
ADMINISTRACIÓN,196f424ad29c4eb8cb9bed35623269762a2fd65bf761747cba6cdca7fb171ba4,Femenino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,ebe159bc97d3bd063ef120c73fc39906b75f9fa26d91cbac6154ef43a47fa529,Femenino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,73ca13ea55669c67775246a13477a970808c20e2293863a27a6ccbc13fb236c6,Femenino,2023B,Examen General de Admision,Colegio Particular
